message_id,image_path,image_category,confidence_score
22927,22927.jpg,other,0.0
22928,22928.jpg,product_display,0.8699760437011719
22929,22929.jpg,product_display,0.4841187298297882
22930,22930.jpg,other,0.2554719150066376
22931,22931.jpg,lifestyle,0.6241406798362732
22932,22932.jpg,other,0.0
22933,22933.jpg,other,0.0
22934,22934.jpg,product_display,0.5879679322242737
22935,22935.jpg,other,0.0
22936,22936.jpg,other,0.4816800355911255
22937,22937.jpg,product_display,0.6904144883155823
22938,22938.jpg,other,0.0
22939,22939.jpg,other,0.2700810432434082
52145,52145.jpg,other,0.29612067341804504
52147,52147.jpg,other,0.3905903100967407
52149,52149.jpg,other,0.0
52153,52153.jpg,other,0.3722785711288452
52155,52155.jpg,other,0.0
52156,52156.jpg,lifestyle,0.876865029335022
52164,52164.jpg,lifestyle,0.9043923616409302
52171,52171.jpg,other,0.5241114497184753
52172,52172.jpg,other,0.30774959921836853
52178,52178.jpg,other,0.0
52180,52180.jpg,lifestyle,0.3142894208431244
52181,52181.jpg,other,0.49625298380851746
52188,52188.jpg,other,0.3036420941352844
52191,52191.jpg,promotional,0.9039087891578674
52192,52192.jpg,other,0.0
52194,52194.jpg,other,0.0
52196,52196.jpg,promotional,0.9039087891578674
52200,52200.jpg,promotional,0.9042568206787109
52201,52201.jpg,lifestyle,0.8742296099662781
52211,52211.jpg,promotional,0.9042568206787109
52213,52213.jpg,other,0.4985000789165497
52214,52214.jpg,other,0.0
52215,52215.jpg,other,0.7160197496414185
52219,52219.jpg,other,0.7579562067985535
52220,52220.jpg,lifestyle,0.8435440063476562
52222,52222.jpg,other,0.0
52223,52223.jpg,other,0.0
52224,52224.jpg,other,0.35293883085250854
52225,52225.jpg,other,0.0
52226,52226.jpg,other,0.39055225253105164
52227,52227.jpg,other,0.3076861798763275
52228,52228.jpg,other,0.38299551606178284
52229,52229.jpg,other,0.42070242762565613
52230,52230.jpg,other,0.7579562067985535
52233,52233.jpg,other,0.0
52234,52234.jpg,other,0.3253744840621948
188903,188903.jpg,lifestyle,0.7996269464492798
188907,188907.jpg,lifestyle,0.7996269464492798
188914,188914.jpg,other,0.0
188915,188915.jpg,other,0.9073542356491089
188920,188920.jpg,lifestyle,0.42984962463378906
188927,188927.jpg,other,0.0
188931,188931.jpg,other,0.0
188941,188941.jpg,other,0.0
188942,188942.jpg,other,0.9073542356491089
188954,188954.jpg,lifestyle,0.7996269464492798
188962,188962.jpg,product_display,0.7155640721321106
188970,188970.jpg,lifestyle,0.7788910269737244
188973,188973.jpg,other,0.0
188975,188975.jpg,lifestyle,0.6697080731391907
188979,188979.jpg,lifestyle,0.3746533989906311
188981,188981.jpg,product_display,0.40849173069000244
188982,188982.jpg,promotional,0.8333329558372498
188983,188983.jpg,other,0.42744725942611694
188984,188984.jpg,other,0.0
188985,188985.jpg,other,0.9096153974533081
188986,188986.jpg,product_display,0.3411349952220917
188990,188990.jpg,other,0.2851201891899109
188991,188991.jpg,other,0.5122964382171631
188993,188993.jpg,product_display,0.7155640721321106
188996,188996.jpg,other,0.0
188997,188997.jpg,lifestyle,0.4294899106025696
189002,189002.jpg,lifestyle,0.8240982294082642
189003,189003.jpg,other,0.5962021350860596
189007,189007.jpg,product_display,0.7155640721321106
189010,189010.jpg,lifestyle,0.4294899106025696
189011,189011.jpg,promotional,0.890102207660675
189012,189012.jpg,lifestyle,0.8354421854019165
189013,189013.jpg,lifestyle,0.9043030142784119
189014,189014.jpg,lifestyle,0.8708752393722534
189015,189015.jpg,lifestyle,0.8516666293144226
189016,189016.jpg,lifestyle,0.9118750691413879
189017,189017.jpg,lifestyle,0.863249659538269
189018,189018.jpg,lifestyle,0.841562032699585
189019,189019.jpg,lifestyle,0.9120910167694092
189020,189020.jpg,lifestyle,0.924875795841217
